,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
14867,IND,Asia,India,737424,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14868,IND,Asia,India,737425,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14869,IND,Asia,India,737426,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14870,IND,Asia,India,737427,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14871,IND,Asia,India,737428,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14872,IND,Asia,India,737429,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14873,IND,Asia,India,737430,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14874,IND,Asia,India,737431,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14875,IND,Asia,India,737432,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14876,IND,Asia,India,737433,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14877,IND,Asia,India,737434,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14878,IND,Asia,India,737435,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14879,IND,Asia,India,737436,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14880,IND,Asia,India,737437,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14881,IND,Asia,India,737438,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
14882,IND,Asia,India,737439,0,0,0,0,0,0,0,0,128314.5,3787117,2.7445,0.093,1125,0.079,9.667,0.062,samples tested,0,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
